SKU ID,2023 PTUs,PTU/HR,PTU/shift,# of people on Line,Base  Direct Labor Rate ($/hr),QA Tech,Line Lead,Production FLO,Warehouse FLO,"Supervisors, Trainers, Donor Coordinator, Donor Receivers, FG Leads, Baler MO",Cleaning,Total Flex Cost,Total Unit Cost (Direct + Flex)
429456165,0,92,736,7.5,16.85,0.207704491,0.516726675,0.208859529,0.223689454,0.435177944,0,1.592158095,3.61
429587057,267,35.625,285,13,16.85,0.536387739,1.334423976,0.539370574,0.577668205,1.201574375,0,4.189424869,13.23
429887541,0,250,2000,12,16.85,0.076435253,0.190155417,0.076860307,0.082317719,0.171224348,0,0.596993044,1.79
425721658,0,26.25,210,13,16.85,0.727954789,1.811003967,0.732002922,0.783978278,1.63070808,0,5.685648036,17.95
429847594,11450,180,1440,10,16.85,0.152162772,0.264104745,0.106750426,0.114330166,0.210446368,0.147535561,0.995330037,2.37
429849314,14102,193.75,1550,11,16.85,0.141364123,0.245361828,0.099174589,0.106216412,0.195511464,0.137065295,0.924693712,2.33
429901946,0,187.5,1500,9,16.85,0.146076261,0.253540555,0.102480409,0.109756959,0.202028513,0.141634138,0.955516836,2.14
429902978,0,140.625,1125,10,16.85,0.194768348,0.338054074,0.136640545,0.146342612,0.269371351,0.188845518,1.274022448,3.04
429903064,4797,210,1680,8,16.85,0.130425233,0.226375496,0.091500365,0.097997285,0.180382601,0.126459052,0.853140032,1.8
429955954,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429996890,0,150,1200,10,16.85,0.127392088,0.316925694,0.128100511,0.137196199,0.285373914,0,0.994988406,2.65
429997105,56100,210,1680,9,16.85,0.130425233,0.226375496,0.091500365,0.097997285,0.180382601,0.126459052,0.853140032,1.91
429855592,0,179.125,1433,10,16.85,0.152906065,0.265394859,0.107271887,0.114888652,0.211474368,0.148256251,1.000192082,2.38
429875071,0,9.75,78,14,16.85,1.959878277,4.875779912,6.56925699,2.11071075,3.885163715,0,19.40078964,54.97
429923704,0,16.25,130,14,16.85,1.175926966,2.925467947,3.941554194,1.26642645,2.331098229,0,11.64047379,32.98
429944301,0,9.75,78,14,16.85,1.959878277,4.875779912,6.56925699,2.11071075,3.885163715,0,19.40078964,54.97
429945591,0,9.75,78,14,16.85,1.959878277,4.875779912,6.56925699,2.11071075,3.885163715,0,19.40078964,54.97
